name	version	license
aiohappyeyeballs	2.7.1	PSF-2.0
aiohttp	3.14.3	Apache-2.0 AND MIT
aiohttp-retry	2.9.1	MIT
aiosignal	1.4.0	Apache 2.0
albucore	0.0.24	MIT License
albumentations	2.0.8	MIT License
annotated-doc	0.0.5	UNKNOWN
annotated-types	0.8.0	MIT License
anthropic	0.100.0	MIT
anyio	4.13.0	UNKNOWN
APScheduler	3.11.3	MIT
argon2-cffi	25.1.0	UNKNOWN
argon2-cffi-bindings	26.1.0	UNKNOWN
attrs	26.1.0	UNKNOWN
bcrypt	4.0.1	Apache License, Version 2.0
beautifulsoup4	4.14.3	MIT License
camelot-py	2.0.0	MIT
certifi	2026.7.22	MPL-2.0
cffi	2.1.1	UNKNOWN
charset-normalizer	3.5.1	MIT
click	8.5.0	UNKNOWN
cobble	0.1.4	BSD License
contourpy	1.3.3	BSD 3-Clause License
croniter	6.2.2	MIT License
cryptography	50.0.0	UNKNOWN
cuda-bindings	13.3.1	UNKNOWN
cuda-pathfinder	1.8.0	UNKNOWN
cuda-toolkit	13.0.3.0	UNKNOWN
cycler	0.12.1	Copyright (c) 2015, matplotlib project
Cython	3.3.0	Apache-2.0
defusedxml	0.7.1	PSFL
Deprecated	1.3.1	MIT
distro	1.9.0	Apache License, Version 2.0
docker	7.1.0	Apache Software License
docstring_parser	0.18.0	MIT
et_xmlfile	2.0.0	MIT
fastapi	0.136.1	UNKNOWN
filelock	3.32.4	MIT License
fire	0.7.1	Apache-2.0
flatbuffers	25.12.19	Apache 2.0
fonttools	4.63.0	MIT
frozenlist	1.8.0	Apache-2.0
fsspec	2026.7.0	UNKNOWN
google-api-core	2.34.0	Apache 2.0
google-auth	2.57.0	Apache 2.0
google-cloud-bigquery	3.44.0	Apache 2.0
google-cloud-core	2.7.0	Apache 2.0
google-crc32c	1.8.0	UNKNOWN
google-genai	1.75.0	UNKNOWN
google-resumable-media	2.10.2	Apache 2.0
googleapis-common-protos	1.75.2	Apache 2.0
greenlet	3.5.5	UNKNOWN
grpcio	1.83.1	UNKNOWN
grpcio-status	1.83.1	UNKNOWN
gunicorn	26.0.0	UNKNOWN
h11	0.16.0	MIT
hf-xet	1.6.0	Apache Software License
httpcore	1.0.9	BSD License
httpcore2	2.12.0	BSD License
httptools	0.8.0	UNKNOWN
httpx	0.28.1	BSD-3-Clause
httpx2	2.12.0	BSD License
huggingface_hub	1.29.0	Apache-2.0
idna	3.19	UNKNOWN
ImageIO	2.37.4	UNKNOWN
iniconfig	2.3.0	UNKNOWN
Jinja2	3.1.6	BSD License
jiter	0.16.0	UNKNOWN
joblib	1.5.3	UNKNOWN
jsonschema	4.26.0	UNKNOWN
jsonschema-specifications	2025.9.1	UNKNOWN
kafka-python	2.3.2	Apache Software License
kiwisolver	1.5.1	=========================
lazy-loader	0.5	UNKNOWN
limits	5.8.0	MIT License
lmdb	2.3.0	OLDAP-2.8
lxml	6.1.0	BSD-3-Clause
magika	0.6.3	Apache-2.0
mammoth	1.11.0	BSD-2-Clause
Markdown	3.10.2	UNKNOWN
markdown-it-py	4.2.0	MIT License
